index,enhedsnummer,cvrnummer,eventtype,attribute,gyldigfra,gyldigtil
0,505299,86299410,navn,732519,1979-05-07,2011-10-31
1,505299,86299410,penhed,1002743637,1979-05-07,2011-10-31
2,505299,86299410,virksomhedsstatus,1,1979-05-07,2011-06-21
3,505299,86299410,virksomhedsstatus,9,2011-06-22,2011-10-30
4,505299,86299410,virksomhedsstatus,11,2011-10-31,2011-10-31
5,505299,86299410,virksomhedsform,60,1979-05-07,2011-10-31
6,505299,86299410,hovedbranche,439990,2008-01-01,2011-10-31
7,505299,86299410,hovedbranche,455000,1979-05-07,2007-12-31
8,505299,86299410,regnummer,55814,1979-05-07,1999-10-18
9,505299,86299410,telefonnummer,553508,2007-12-14,2011-10-31
10,508511,71312518,navn,1335385,1984-10-05,2200-01-01
11,508511,71312518,penhed,1002340305,1984-10-05,2200-01-01
12,508511,71312518,virksomhedsstatus,1,1984-10-05,2200-01-01
13,508511,71312518,virksomhedsform,60,1984-10-05,2200-01-01
14,508511,71312518,hovedbranche,411000,2012-01-01,2200-01-01
15,508511,71312518,hovedbranche,439990,2008-01-01,2011-12-31
16,508511,71312518,hovedbranche,452100,1984-10-05,2007-12-31
17,508511,71312518,bibranche1,412000,2012-01-01,2200-01-01
18,508511,71312518,bibranche1,711210,2008-01-02,2011-12-31
19,508511,71312518,bibranche1,742010,1984-10-05,2007-12-30
20,508511,71312518,regnummer,113904,1984-10-05,1999-10-18
21,508511,71312518,telefonnummer,847014,2000-01-23,2200-01-01
22,508511,71312518,elektroniskpost,847013,2000-01-23,2000-11-01
23,719644,61017313,navn,1936535,1981-11-16,2200-01-01
24,719644,61017313,penhed,1002125078,1981-11-16,2200-01-01
25,719644,61017313,penhed,1008262361,1990-05-01,1990-05-01
26,719644,61017313,virksomhedsstatus,1,1981-11-16,2200-01-01
27,719644,61017313,virksomhedsform,60,1981-11-16,2200-01-01
28,719644,61017313,hovedbranche,412000,2013-01-01,2200-01-01
29,719644,61017313,hovedbranche,439990,2008-01-01,2012-12-31
30,719644,61017313,hovedbranche,452100,1981-11-16,2007-12-31
31,719644,61017313,regnummer,155954,1981-11-16,1999-10-18
